Category,Name,Neighborhood,Recognition,What_to_order,Price_range,Reservation,Best_time,Notes
Michelin,Zoï,Veli Varoš (Šetalište Petra Preradovića 7),Michelin Guide (Plate) — table panoramique au pied de Marjan,Tasting méditerranéen ; thon cru fumé minute ; agneau de Brač,EUR 70-110 tasting,Essential,Dinner,Vue mer pleine et cuisine moins folklorique que les voisins du palais.
Michelin,Šug,Centre (Šubićeva 5),Michelin Guide (Plate) — fine dining contemporaine,Menu dégustation produits locaux ; carte courte 5 ou 7 services,EUR 80-130 tasting,Essential,Dinner,Une des rares tables où l'on travaille la Dalmatie en finesse plutôt qu'en quantité.
Michelin,Dvor,Firule (Put Firula 14),Michelin Guide — terrasse mer la plus belle de la ville,Brodet ; agneau de lait peka ; poisson grillé entier,EUR 55-90 mains,Recommended,Dinner,À 15 min du palais ; viser le coucher de soleil sur la table.
Michelin,Konoba Fetivi,Veli Varoš (Tomića Stine 4),Michelin Guide (Plate) — konoba familiale,Calamars frais grillés ; gregada ; risotto noir,EUR 25-45 mains,Recommended,Lunch,Tenue par la même famille depuis trois générations ; carte courte ardoise.
Contemporary,Bokeria Kitchen & Wine,Centre (Domaldova 8),Repère locavore dans le palais — murs d'alcools,Tartare de bœuf ; pâtes maison aux truffes d'Istrie ; poisson du jour,EUR 35-60 mains,Essential,Dinner,Réservez. Bondé tous les soirs pour de bonnes raisons. Carte des vins croates sérieuse.
Contemporary,Apetit,Centre (Šubićeva 5),Locale solide depuis 1981 — première étage tranquille,Pašticada à la dalmate ; gnocchis maison ; loup au sel,EUR 30-50 mains,Recommended,Lunch,Adresse historique discrète au-dessus de la rue ; échappe à la foule du palais.
Contemporary,Bajamonti,Centre (Trg Republike 1 — Prokurative),Néo-Renaissance sur la Prokurative — café-resto chic,Filet de bœuf risotto Plavac Mali ; carpaccio de daurade,EUR 30-55 mains,Recommended,All day,Beau cadre Habsbourg sur la Prokurative ; café le matin acceptable et plats du jour corrects à midi.
Traditional,Konoba Matejuška,Veli Varoš (Tomića Stine 3),Maison de pierre 19e — institution dalmate,Poisson entier au gril ; pieuvre peka ; salade de tomate au câprier,EUR 30-50 mains,Essential,Dinner,Toute petite. Réservez plusieurs jours avant. Cuisine de pêcheurs faite juste.
Traditional,Konoba Marjan,Varoš (Senjska 1),Konoba familiale au pied de Marjan,Brodet ; calamars farcis ; rižot crni,EUR 25-45 mains,Recommended,Dinner,Sur le chemin qui monte vers Marjan — aller à pied après le sentier.
Traditional,Fife,Matejuška (Trumbićeva obala 11),Cantine de quartier face au port des pêcheurs,Pašticada-gnocchis ; soupe de poisson ; calamars frits,EUR 12-22 plats,Walk-in,Lunch,Portions massives prix doux. Y aller à 13h en semaine ; carte écrite à la main au mur.
Traditional,Šperun,Veli Varoš (Šperun 3),Konoba urbaine du Varoš (depuis 1995),Soupe de poisson ; pieuvre salade ; agneau peka sur réservation,EUR 25-40 mains,Recommended,Dinner,Bonne entrée en matière dalmate sans faire le détour folklorique.
Cult,Villa Spiza,Centre (Petra Krešimira IV 1),Cantine cachée du palais — quand c'est fini c'est fini,Plats du jour ardoise ; daurade entière ; calamars,EUR 15-30 plats,Walk-in,Lunch,Une dizaine de tabourets. Arrivez à l'ouverture sinon repassez. Cuisine domestique sans esbroufe.
Market,Pazar (Marché vert),Hrvojeva (mur Est du palais),Marché historique 7h-14h — fruits, légumes, fromages, miel,Tomates de Kaštela ; smokva séchée ; brebis de Brač ; huile d'olive,EUR variable,Walk-in,All day,Au pied de la Porte d'Argent. À 8h pour les vrais producteurs ; à midi c'est plus fatigué.
Market,Ribarnica (Marché aux poissons),Marmontova / Trg Republike,Halle 1890 style néo-Renaissance — pas de mouches grâce au soufre du voisinage,Poisson dalmate du matin ; sépia ; rouget ; loup ligne,EUR variable,Walk-in,Lunch,Ouvert tôt jusque ~13h. Idéal pour comprendre la saison avant de réserver une konoba.
Cafe,D16 Coffee,Dosud 9 (palais),Pionnier de la troisième vague à Split — torréfaction sérieuse,Espresso ; flat white ; filtre V60 sur grain croate ou éthiopien,EUR 2-5,Walk-in,All day,Petite échoppe dans une ruelle du palais ; un des seuls vrais cafés de spécialité de la côte dalmate.
Drink,Paradox Wine & Cheese Bar,Poljana Tina Ujevića 2,Référence vin croate à Split — caves de Pelješac à Plešivica,Verre de Plavac Mali Dingač ; Pošip de Korčula ; planches de fromage de Pag,EUR 6-12 verre,Recommended,Dinner,Sommelier qui parle vrai. Ouvert tard ; bonne escale après dîner.
Drink,Zinfandel Food & Wine Bar,Marulićeva 2,Bar à vin chic du centre — depuis 2013,Tribidrag (Zinfandel croate) ; verres de Korlat ; Babić,EUR 7-14 verre,Recommended,Dinner,La carte tourne autour du Tribidrag — l'ancêtre dalmate du Zinfandel. Petites assiettes correctes.
Produce,Uje Oil Bar,Marulićeva 1,Première boutique-bar dédiée à l'huile d'olive croate,Dégustation huiles Brač / Hvar / Istrie ; sel de Pag ; câpres,EUR 5-15 dégustation,Walk-in,All day,Pour comprendre que l'huile dalmate joue dans la même cour que la Ligurie. Bouteilles à emporter.
Hi-Fi,Parasol,Adamova 5 (palais),Listening bar lignée jazz kissa — système son New Fidelity (Francfort) sur mesure,Petites bouchées méditerranéennes ; vin croate ; cocktail ; café de spécialité,EUR 6-14 verre,Recommended,All day,Le seul vrai bar à écoute audiophile de la côte dalmate. Vinyle. DJs résidents d'ASC le week-end. Y aller tôt pour entendre la pièce avant qu'elle se remplisse.
