Category,Name,Neighborhood,Recognition,What_to_order,Price_range,Reservation,Best_time,Notes
Michelin,Restaurant Jean-Paul Jeunet,Arbois (15 km nord),"Michelin Guide — table historique d'Arbois, Vin Jaune comme religion",Poularde de Bresse au Vin Jaune et morilles ; truite de Doubs ; tarte au comté 36 mois,EUR 75-130 menu,Essential,Dinner,"Le sanctuaire du Vin Jaune à table. Carte des Jaune anciens (Macle 1986, Tissot 1990) à voir et boire. Réserver 10 jours avant en saison."
Michelin,La Maison Carrée — Vincent Mercier,Arbois (15 km nord),Bib Gourmand — bistronomie jurassienne contemporaine,"Tartare de bœuf montbéliarde au Trousseau ; sandre, cancoillotte fumée ; gaufre, miel de sapin",EUR 35-55 mains,Recommended,All day,"Plus jeune et plus libre que Jeunet. La salle est minuscule, terrasse l'été. Carte des vins jaunes au verre, rare."
Traditional,Le Comtois,Lons-le-Saunier centre,Bistrot du marché — cuisine jurassienne sans folklore,"Saucisse de Morteau, lentilles vertes du Jura ; coq au Vin Jaune ; fondue au Comté trois âges",EUR 18-28 plats,Recommended,Lunch,"Bondé le jour du marché (jeudi, samedi). Carte courte ardoise, cancoillotte maison. À midi, formule à 22 € qui tient la route."
Traditional,Le Bistrot des Halles,Place de la Comédie (sous les Halles),Adresse de marché — clientèle d'habitués,Plat du jour ardoise ; entrecôte montbéliarde ; tête de veau (jeudi),EUR 14-24 plats,Walk-in,Lunch,"Y aller à midi le jour du marché, jamais le soir. Carte des vins jaunes courte mais propre."
Contemporary,Hôtel-Restaurant Le Parenthèse,Chille (3 km),Cuisine de produit — équipe jeune,"Risotto au comté 24 mois ; truite ikejime, beurre noisette ; ris de veau, sauce au Macvin",EUR 38-58 menu,Recommended,Dinner,"Hors centre — 5 minutes en voiture. Salle calme, terrasse jardin. Bon rapport qualité-prix le midi en semaine."
Traditional,Le Bouchon du Stade,Quartier du Solvan,Cantine ouvrière — viandes de pays,Andouillette AAAAA ; entrecôte au Trousseau ; planche fromages comtois,EUR 14-22 plats,Walk-in,Lunch,"Cantine sans chichi. Pas de site, paye en CB ou cash. À éviter le samedi soir (foot)."
Cafe,Pâtisserie Chocolaterie Pelen,Rue du Commerce,Maison fondée 1899 — galets de l'Ain (chocolat-praliné),Galet de l'Ain ; tarte au comté ; éclair café,EUR 3-8,Walk-in,All day,Institution. Le galet est le souvenir comestible à ramener. Salon de thé à l'étage.
Cafe,Le Café de la Comédie,Place de la Comédie,Café terrasse face au théâtre 1840,Espresso ; verre de Crémant ; planche comté-saucisson,EUR 2-12,Walk-in,All day,"La meilleure terrasse pour observer le marché. Pas de spécialité, mais le café est correct et l'emplacement bat tout."
Drink,Caveau des Jacobins,Rue Richebourg,Cave à vins jurassiens — vente et dégustation,Vin Jaune Macle ou Tissot ; Crémant brut ; Macvin pour l'apéritif,EUR 6-15 verre,Walk-in,All day,"Pour comprendre les sept cépages avant de monter à Château-Chalon. Le caviste explique vraiment, pas de bla-bla."
Market,Marché de Lons-le-Saunier,Place de la Comédie / Place du Maréchal Juin,Marché jeudi & samedi matin — l'un des plus beaux du Jura,Comté de Marcel Petite (Fort Saint-Antoine) ; Morteau d'un tuyé ; cancoillotte ; miel de sapin,EUR variable,Walk-in,All day,"7h-13h, jeudi et samedi. Jeudi est plus paysan, samedi plus dense. Producteurs montés du plateau (Hauts-Jura, Bresse)."
Produce,Fromagerie Vagne,Rue du Commerce,Fromager-affineur du centre — Comté de plusieurs maisons,Plateau dégustation comté 18/24/36 mois ; Bleu de Gex ; Mont d'Or (oct-mai) ; cancoillotte,EUR 5-25,Walk-in,All day,Demandez à goûter trois âges côte à côte — c'est la base. Sous-vide possible pour rapporter au bateau.
Cult,Maison du Comté,Poligny (35 km nord),Centre d'interprétation officiel du Comté AOP — visite cave,Visite + dégustation comparative cave d'altitude vs cave de plaine,EUR 8-12 visite,Recommended,All day,Le détour utile : on comprend pourquoi un comté de fruitière de plateau ne ressemble pas à un comté de plaine. 45 min.
Cult,Domaine Macle,Château-Chalon (15 km est),Référence absolue du Vin Jaune de Château-Chalon,Château-Chalon ; Côtes du Jura blanc tradition ; Crémant,EUR 25-95 bouteille,Essential,All day,"Visite uniquement sur rendez-vous. Laurent Macle reçoit lui-même. Dégustation sérieuse, dans la cave familiale, sans mise en scène."
Cult,Domaine Stéphane Tissot,Montigny-lès-Arsures (18 km nord),Le Jura biodynamique — gamme la plus complète,Arbois Trousseau Singulier ; Vin Jaune ; Vin de Paille ; Crémant Indigène,EUR 18-120 bouteille,Recommended,All day,"Plus large que Macle, plus expérimental. Grande gamme parcellaire. Boutique ouverte, mais réserver pour visiter les caves."
